import time: self [us] | cumulative | imported package
import time:       554 |       1012 |               torch.distributed.algorithms
import time:        16 |       1028 |             torch.distributed.algorithms.join
import time:       402 |        402 |             torch.distributed.utils
import time:      1221 |       2649 |           torch.nn.parallel.distributed
import time:       252 |       4906 |         torch.nn.parallel
import time:       470 |     493548 |       torch.nn
import time:        17 |     493564 |     torch.nn.functional
import time:       357 |        357 |       torch._linalg_utils
import time:       324 |        680 |     torch._lowrank
import time:      2060 |     496304 |   torch.functional
import time:       260 |        260 |   torch.__config__
import time:       235 |        235 |     torch.accelerator._utils
import time:       228 |        228 |     torch.accelerator.memory
import time:       309 |        771 |   torch.accelerator
import time:       292 |        292 |       torch.cpu.amp.autocast_mode
import time:       154 |        154 |       torch.cpu.amp.grad_scaler
import time:       219 |        664 |     torch.cpu.amp
import time:       499 |       1163 |   torch.cpu
import time:       615 |        615 |       torch.distributions.constraints
import time:       391 |        391 |         torch.distributions.utils
import time:       359 |        749 |       torch.distributions.distribution
import time:      1405 |       2769 |     torch.distributions.transforms
import time:       242 |        242 |       torch.distributions.exp_family
import time:       303 |        545 |     torch.distributions.bernoulli
import time:       306 |        306 |       torch.distributions.dirichlet
import time:       310 |        616 |     torch.distributions.beta
import time:       250 |        250 |     torch.distributions.binomial
import time:       231 |        231 |     torch.distributions.categorical
import time:       160 |        160 |     torch.distributions.cauchy
import time:       168 |        168 |       torch.distributions.gamma
import time:       205 |        372 |     torch.distributions.chi2
import time:       376 |        376 |     torch.distributions.constraint_registry
import time:      1476 |       1476 |     torch.distributions.continuous_bernoulli
import time:       213 |        213 |     torch.distributions.exponential
import time:       188 |        188 |     torch.distributions.fishersnedecor
import time:       170 |        170 |     torch.distributions.generalized_pareto
import time:       250 |        250 |     torch.distributions.geometric
import time:       188 |        188 |         torch.distributions.independent
import time:       168 |        355 |       torch.distributions.transformed_distribution
import time:       198 |        198 |       torch.distributions.uniform
import time:       161 |        713 |     torch.distributions.gumbel
import time:       143 |        143 |     torch.distributions.half_cauchy
import time:       150 |        150 |       torch.distributions.normal
import time:       140 |        290 |     torch.distributions.half_normal
import time:       133 |        133 |     torch.distributions.inverse_gamma
import time:       144 |        144 |       torch.distributions.laplace
import time:       211 |        211 |         torch.distributions.multivariate_normal
import time:       173 |        383 |       torch.distributions.lowrank_multivariate_normal
import time:       166 |        166 |       torch.distributions.one_hot_categorical
import time:       185 |        185 |       torch.distributions.pareto
import time:       147 |        147 |       torch.distributions.poisson
import time:       500 |       1523 |     torch.distributions.kl
import time:       149 |        149 |     torch.distributions.kumaraswamy
import time:       147 |        147 |     torch.distributions.lkj_cholesky
import time:       133 |        133 |     torch.distributions.log_normal
import time:       225 |        225 |     torch.distributions.logistic_normal
import time:       196 |        196 |     torch.distributions.mixture_same_family
import time:       143 |        143 |     torch.distributions.multinomial
import time:       168 |        168 |     torch.distributions.negative_binomial
import time:       204 |        204 |     torch.distributions.relaxed_bernoulli
import time:       204 |        204 |     torch.distributions.relaxed_categorical
import time:       154 |        154 |     torch.distributions.studentT
import time:       364 |        364 |           torch.jit._builtins
import time:       998 |       1361 |         torch.jit._async
import time:       236 |        236 |         torch.jit._await
import time:       190 |        190 |         torch.jit._decomposition_utils
import time:       240 |        240 |             torch._classes
import time:       217 |        217 |             torch.jit._fuser
import time:        65 |         65 |               monkeytype
import time:       283 |        347 |             torch.jit._monkeytype_config
import time:       244 |        244 |               torch.jit._check
import time:       248 |        248 |               torch.jit._state
import time:       314 |        314 |                 torch.jit.annotations
import time:       208 |        208 |                 torch.jit._dataclass_impls
import time:       819 |       1341 |               torch.jit.frontend
import time:       559 |       2390 |             torch.jit._recursive
import time:       310 |        310 |             torch.jit._serialization
import time:       970 |       4472 |           torch.jit._script
import time:       358 |       4829 |         torch.jit._freeze
import time:       267 |        267 |         torch.jit._ir_utils
import time:       725 |        725 |         torch.jit._trace
import time:       365 |       7970 |       torch.jit
import time:       297 |       8267 |     torch.distributions.von_mises
import time:       281 |        281 |     torch.distributions.weibull
import time:       463 |        463 |     torch.distributions.wishart
import time:       706 |      21843 |   torch.distributions
import time:       351 |        351 |   torch.fft
import time:       325 |        325 |       urllib.response
import time:       246 |        571 |     urllib.error
import time:      1104 |       1104 |         http
import time:       522 |        522 |           email.feedparser
import time:       281 |        802 |         email.parser
import time:       883 |       2788 |       http.client
import time:      1740 |       1740 |       _scproxy
import time:      1026 |       5553 |     urllib.request
import time:       292 |        292 |       tqdm._monitor
import time:       208 |        208 |       tqdm._tqdm_pandas
import time:      1875 |       1875 |             unicodedata
import time:       482 |       2357 |           tqdm.utils
import time:       697 |       3054 |         tqdm.std
import time:      1423 |       1423 |         tqdm.version
import time:       403 |       4879 |       tqdm.cli
import time:       318 |        318 |       tqdm.gui
import time:       325 |       6021 |     tqdm
import time:       432 |      12575 |   torch.hub
import time:       424 |        424 |   torch.linalg
import time:       306 |        306 |     torch.mps.profiler
import time:       207 |        207 |     torch.mps.event
import time:       287 |        799 |   torch.mps
import time:       192 |        192 |     torch._environment
import time:       258 |        258 |     torch.mtia._utils
import time:       222 |        222 |     torch.mtia.memory
import time:       249 |        249 |     torch.mtia.mtia_graph
import time:       406 |       1325 |   torch.mtia
import time:       365 |        365 |       multiprocessing.util
import time:       355 |        355 |       multiprocessing.resource_sharer
import time:       497 |       1215 |     torch.multiprocessing.reductions
import time:     97533 |      97533 |         _multiprocessing
import time:       182 |        182 |         _winapi
import time:       606 |      98320 |       multiprocessing.connection
import time:       683 |        683 |       concurrent.futures.thread
import time:       432 |      99433 |     torch.multiprocessing.spawn
import time:       168 |        168 |         runpy
import time:       409 |        576 |       multiprocessing.spawn
import time:     97763 |      97763 |       _posixshmem
import time:       527 |      98865 |     multiprocessing.resource_tracker
import time:       385 |     199897 |   torch.multiprocessing
import time:       518 |        518 |       torch.nested._internal
import time:       312 |        312 |                 torch.fx._compatibility
import time:       711 |       1023 |               torch.fx.immutable_collections
import time:       498 |        498 |                     torch.fx.experimental
import time:      1362 |       1362 |                     torch.fx.experimental._config
import time:       446 |        446 |                       torch.utils._dtype_abbrs
import time:       749 |        749 |                         torch.return_types
import time:       393 |       1142 |                       torch.fx._pytree
import time:      1108 |       1108 |                         torch.fx.operator_schemas
import time:      8660 |       9767 |                       torch.fx.node
import time:      3895 |      15248 |                     torch.fx.graph
import time:      1029 |      18135 |                   torch.fx.graph_module
import time:       488 |      18622 |                 torch.fx._lazy_graph_module
import time:       823 |        823 |                   torch.fx.traceback
import time:       314 |        314 |                         torch._logging.structured
import time:       407 |        407 |                           torch.utils._ordered_set
import time:      1146 |       1146 |                           torch.utils._traceback
import time:       469 |        469 |                           torch.utils.weak
import time:      5165 |       7186 |                         torch._guards
import time:      1809 |       9309 |                       torch._logging._internal
import time:       589 |       9897 |                     torch._logging._registrations
import time:       694 |      10591 |                   torch._logging
import time:      1029 |      12442 |                 torch.fx.proxy
import time:      1567 |      32630 |               torch.fx._symbolic_trace
import time:       205 |        205 |                 torch.fx.config
import time:       916 |       1121 |               torch.fx.interpreter
import time:      1038 |       1038 |               torch.fx.subgraph_rewriter
import time:       383 |      36193 |             torch.fx
import time:        22 |      36215 |           torch.fx.experimental
import time:       288 |      36503 |         torch.fx.experimental._constant_symnode
import time:       472 |      36975 |       torch.nested._internal.nested_int
import time:      1094 |      38587 |     torch.nested._internal.nested_tensor
import time:       699 |      39285 |   torch.nested
import time:       611 |        611 |       torch.optim.optimizer
import time:       833 |       1443 |     torch.optim.lr_scheduler
import time:       382 |        382 |     torch.optim.swa_utils
import time:       442 |        442 |     torch.optim._adafactor
import time:       387 |        387 |     torch.optim._muon
import time:       346 |        346 |     torch.optim.adadelta
import time:       312 |        312 |     torch.optim.adagrad
import time:       460 |        460 |     torch.optim.adam
import time:       397 |        397 |     torch.optim.adamax
import time:       455 |        455 |     torch.optim.adamw
import time:       376 |        376 |     torch.optim.asgd
import time:       472 |        472 |     torch.optim.lbfgs
import time:       395 |        395 |     torch.optim.nadam
import time:       358 |        358 |     torch.optim.radam
import time:       391 |        391 |     torch.optim.rmsprop
import time:       503 |        503 |     torch.optim.rprop
import time:       300 |        300 |     torch.optim.sgd
import time:       250 |        250 |       torch.optim._functional
import time:       291 |        541 |     torch.optim.sparse_adam
import time:       491 |       8442 |   torch.optim
import time:       533 |        533 |       gzip
import time:      1461 |       1461 |         torch.profiler._utils
import time:      2230 |       3690 |       torch.profiler._memory_profiler
import time:       814 |       5036 |     torch.profiler.profiler
import time:       321 |        321 |     torch.profiler.itt
import time:       325 |       5682 |   torch.profiler
import time:       380 |        380 |   torch.special
import time:       366 |        366 |     torch.xpu._utils
import time:       396 |        396 |     torch.xpu.graphs
import time:       569 |        569 |     torch.xpu.streams
import time:       469 |        469 |     torch.xpu.memory
import time:       240 |        240 |     torch.xpu.random
import time:       483 |       2520 |   torch.xpu
import time:       379 |        379 |       torch.signal.windows.windows
import time:       291 |        670 |     torch.signal.windows
import time:       226 |        895 |   torch.signal
import time:       332 |        332 |   torch.ao
import time:       334 |        334 |       torch.ao.nn
import time:      1103 |       1103 |         torch.ao.nn.intrinsic.modules.fused
import time:       509 |       1611 |       torch.ao.nn.intrinsic.modules
import time:       289 |       2233 |     torch.ao.nn.intrinsic
import time:       238 |        238 |       torch.nn.intrinsic.modules.fused
import time:       363 |        601 |     torch.nn.intrinsic.modules
import time:       456 |        456 |                     torch.ao.nn.qat.modules.conv
import time:       372 |        372 |                     torch.ao.nn.qat.modules.embedding_ops
import time:       247 |        247 |                     torch.ao.nn.qat.modules.linear
import time:       210 |       1284 |                   torch.ao.nn.qat.modules
import time:       293 |       1576 |                 torch.ao.nn.qat
import time:       774 |       2349 |               torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       207 |        207 |               torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       173 |        173 |               torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       212 |       2940 |             torch.ao.nn.intrinsic.qat.modules
import time:       128 |       3068 |           torch.ao.nn.intrinsic.qat
import time:       164 |       3231 |         torch.nn.intrinsic.qat.modules.conv_fused
import time:       124 |        124 |         torch.nn.intrinsic.qat.modules.linear_fused
import time:       106 |        106 |         torch.nn.intrinsic.qat.modules.linear_relu
import time:       206 |       3666 |       torch.nn.intrinsic.qat.modules
import time:       318 |       3984 |     torch.nn.intrinsic.qat
import time:       367 |        367 |                                 torch.ao.nn.quantizable.modules.activation
import time:       355 |        355 |                                 torch.ao.nn.quantizable.modules.rnn
import time:       188 |        910 |                               torch.ao.nn.quantizable.modules
import time:       135 |       1044 |                             torch.ao.nn.quantizable
import time:       347 |        347 |                             torch.ao.nn.quantized.modules.activation
import time:       275 |        275 |                             torch.ao.nn.quantized.modules.batchnorm
import time:       300 |        300 |                               torch.ao.nn.quantized.modules.utils
import time:       623 |        922 |                             torch.ao.nn.quantized.modules.conv
import time:       220 |        220 |                             torch.ao.nn.quantized.modules.dropout
import time:       217 |        217 |                             torch.ao.nn.quantized.modules.embedding_ops
import time:       290 |        290 |                             torch.ao.nn.quantized.modules.functional_modules
import time:       280 |        280 |                             torch.ao.nn.quantized.modules.linear
import time:       201 |        201 |                             torch.ao.nn.quantized.modules.normalization
import time:       241 |        241 |                             torch.ao.nn.quantized.modules.rnn
import time:       450 |       4484 |                           torch.ao.nn.quantized.modules
import time:        15 |       4499 |                         torch.ao.nn.quantized.modules.utils
import time:       382 |       4880 |                       torch.ao.nn.quantized.functional
import time:       276 |       5155 |                     torch.ao.nn.quantized
import time:       357 |       5512 |                   torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       277 |        277 |                   torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       218 |        218 |                   torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       207 |        207 |                   torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       269 |       6482 |                 torch.ao.nn.intrinsic.quantized.modules
import time:       289 |       6770 |               torch.ao.nn.intrinsic.quantized
import time:       288 |        288 |                       torch.ao.nn.quantized.dynamic.modules.conv
import time:       154 |        154 |                       torch.ao.nn.quantized.dynamic.modules.linear
import time:       442 |        442 |                       torch.ao.nn.quantized.dynamic.modules.rnn
import time:       214 |       1096 |                     torch.ao.nn.quantized.dynamic.modules
import time:       291 |       1386 |                   torch.ao.nn.quantized.dynamic
import time:       211 |       1597 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       501 |       2097 |               torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       248 |       9114 |             torch.ao.nn.intrinsic.quantized.dynamic
import time:       159 |       9273 |           torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       173 |       9446 |         torch.nn.intrinsic.quantized.dynamic.modules
import time:       192 |       9637 |       torch.nn.intrinsic.quantized.dynamic
import time:       226 |        226 |         torch.nn.intrinsic.quantized.modules.bn_relu
import time:       321 |        321 |         torch.nn.intrinsic.quantized.modules.conv_relu
import time:       105 |        105 |         torch.nn.intrinsic.quantized.modules.linear_relu
import time:       242 |        893 |       torch.nn.intrinsic.quantized.modules
import time:       153 |      10682 |     torch.nn.intrinsic.quantized
import time:       252 |      17751 |   torch.nn.intrinsic
import time:       198 |        198 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:       144 |        342 |                 torch.ao.nn.qat.dynamic.modules
import time:       123 |        464 |               torch.ao.nn.qat.dynamic
import time:        13 |        476 |             torch.ao.nn.qat.dynamic.modules
import time:        12 |        488 |           torch.ao.nn.qat.dynamic.modules.linear
import time:       158 |        646 |         torch.nn.qat.dynamic.modules.linear
import time:       170 |        816 |       torch.nn.qat.dynamic.modules
import time:       171 |        986 |     torch.nn.qat.dynamic
import time:       141 |        141 |       torch.nn.qat.modules.conv
import time:       177 |        177 |       torch.nn.qat.modules.embedding_ops
import time:       234 |        234 |       torch.nn.qat.modules.linear
import time:       164 |        715 |     torch.nn.qat.modules
import time:       144 |       1845 |   torch.nn.qat
import time:       166 |        166 |     torch.nn.quantizable.modules
import time:       279 |        444 |   torch.nn.quantizable
import time:       168 |        168 |     torch.nn.quantized.dynamic
import time:       115 |        115 |     torch.nn.quantized.functional
import time:       196 |        196 |     torch.nn.quantized.modules
import time:       175 |        652 |   torch.nn.quantized
import time:       199 |        199 |   torch._size_docs
import time:       192 |        192 |   torch._storage_docs
import time:       920 |        920 |   torch._tensor_docs
import time:       306 |        306 |                 torch.ao.quantization.quant_type
import time:       422 |        728 |               torch.ao.quantization.utils
import time:      2446 |       3174 |             torch.ao.quantization.observer
import time:       451 |       3625 |           torch.ao.quantization.fake_quantize
import time:       255 |        255 |             torch.ao.quantization.fuser_method_mappings
import time:       272 |        527 |           torch.ao.quantization.fuse_modules
import time:       551 |        551 |           torch.ao.quantization.qconfig
import time:       314 |        314 |           torch.ao.quantization.qconfig_mapping
import time:       300 |        300 |                   torch.ao.nn.quantized.reference.modules.utils
import time:       731 |       1031 |                 torch.ao.nn.quantized.reference.modules.conv
import time:       165 |        165 |                 torch.ao.nn.quantized.reference.modules.linear
import time:       445 |        445 |                 torch.ao.nn.quantized.reference.modules.rnn
import time:       302 |        302 |                 torch.ao.nn.quantized.reference.modules.sparse
import time:       285 |       2227 |               torch.ao.nn.quantized.reference.modules
import time:       345 |       2571 |             torch.ao.nn.quantized.reference
import time:       275 |        275 |                     torch.ao.nn.sparse.quantized.linear
import time:       165 |        165 |                     torch.ao.nn.sparse.quantized.utils
import time:       325 |        764 |                   torch.ao.nn.sparse.quantized.dynamic.linear
import time:       168 |        932 |                 torch.ao.nn.sparse.quantized.dynamic
import time:       195 |       1126 |               torch.ao.nn.sparse.quantized
import time:       300 |       1426 |             torch.ao.nn.sparse
import time:       221 |        221 |             torch.ao.quantization.stubs
import time:       533 |       4749 |           torch.ao.quantization.quantization_mappings
import time:       451 |        451 |           torch.ao.quantization.quantize
import time:       277 |        277 |           torch.ao.quantization.quantize_jit
import time:       575 |      11065 |         torch.ao.quantization
import time:        16 |      11080 |       torch.ao.quantization.fake_quantize
import time:       264 |      11343 |     torch.quantization.fake_quantize
import time:       203 |        203 |     torch.quantization.fuse_modules
import time:       150 |        150 |     torch.quantization.fuser_method_mappings
import time:       343 |        343 |     torch.quantization.observer
import time:       149 |        149 |     torch.quantization.qconfig
import time:       121 |        121 |     torch.quantization.quant_type
import time:       118 |        118 |     torch.quantization.quantization_mappings
import time:       119 |        119 |     torch.quantization.quantize
import time:       119 |        119 |     torch.quantization.quantize_jit
import time:       104 |        104 |     torch.quantization.stubs
import time:       340 |      13104 |   torch.quantization
import time:       274 |        274 |   torch.quasirandom
import time:       225 |        225 |   torch.multiprocessing._atfork
import time:       431 |        431 |   torch._lobpcg
import time:       281 |        281 |       torch.masked._docs
import time:       350 |        350 |             torch.masked.maskedtensor.core
import time:      2870 |       3220 |           torch.masked.maskedtensor.binary
import time:       754 |        754 |           torch.masked.maskedtensor.passthrough
import time:       137 |        137 |             torch.masked.maskedtensor.creation
import time:       908 |       1045 |           torch.masked.maskedtensor.reductions
import time:      2087 |       2087 |           torch.masked.maskedtensor.unary
import time:       263 |       7367 |         torch.masked.maskedtensor
import time:        19 |       7385 |       torch.masked.maskedtensor.core
import time:       786 |       8451 |     torch.masked._ops
import time:       215 |       8666 |   torch.masked
import time:       403 |        403 |   torch.utils.dlpack
import time:       278 |        278 |                 torch._dispatch
import time:       514 |        791 |               torch._dispatch.python
import time:      1265 |       1265 |                     torch._library.fake_profile
import time:       253 |        253 |                       torch.utils._mode_utils
import time:      3639 |       3892 |                     torch._subclasses.meta_utils
import time:       298 |        298 |                     torch.utils._stats
import time:      1100 |       1100 |                       torch.fx.experimental.sym_node
import time:      1627 |       2726 |                     torch._subclasses._fake_tensor_utils
import time:       265 |        265 |                       torch._custom_op
import time:      4067 |       4332 |                     torch._subclasses.fake_impls
import time:      4998 |      17509 |                   torch._subclasses.fake_tensor
import time:       461 |        461 |                   torch._subclasses.fake_utils
import time:       161 |      18130 |                 torch._subclasses
import time:        18 |      18147 |               torch._subclasses.meta_utils
import time:       487 |      19424 |             torch.fx.passes.shape_prop
import time:        87 |         87 |             pydot
import time:       490 |      20000 |           torch.fx.passes.graph_drawer
import time:       374 |        374 |           torch.fx.passes.graph_manipulation
import time:       676 |        676 |                   torch.fx.passes.utils.matcher_utils
import time:       315 |        991 |                 torch.fx.passes.utils.common
import time:       345 |       1336 |               torch.fx.passes.utils
import time:       876 |        876 |               torch.fx.passes.tools_common
import time:       773 |       2984 |             torch.fx.passes.split_utils
import time:       806 |       3789 |           torch.fx.passes.net_min_base
import time:       437 |        437 |           torch.fx.passes.operator_support
import time:       302 |        302 |           torch.fx.passes.param_fetch
import time:       310 |        310 |           torch.fx.passes.regional_inductor
import time:       648 |        648 |           torch.fx.passes.reinplace
import time:       234 |        234 |             torch.fx._utils
import time:      1048 |       1048 |               torch._subclasses.functional_tensor
import time:       324 |        324 |               torch.utils._thunk
import time:       216 |        216 |               torch.fx.experimental._backward_state
import time:      1727 |       3313 |             torch.fx.experimental.proxy_tensor
import time:       330 |       3877 |           torch.fx.passes.runtime_assert
import time:       484 |        484 |           torch.fx.passes.split_module
import time:       896 |        896 |           torch.fx.passes.splitter_base
import time:       502 |      31613 |         torch.fx.passes
import time:       233 |        233 |           torch.fx.passes.infra.pass_base
import time:       424 |        656 |         torch.fx.passes.infra.pass_manager
import time:       422 |      32690 |       torch.fx.passes.infra
import time:        16 |      32706 |     torch.fx.passes.infra.pass_base
import time:      1691 |       1691 |     torch.export.custom_ops
import time:       277 |        277 |     torch.export._state_dict_utils
import time:       188 |        188 |           torch.export._tree_utils
import time:      2337 |       2337 |           torch.export.graph_signature
import time:       286 |        286 |                 torch._custom_op.autograd
import time:       679 |        964 |               torch._custom_op.impl
import time:       263 |       1226 |             torch._custom_ops
import time:       659 |        659 |             torch._export.utils
import time:       982 |        982 |                         torch._higher_order_ops.schema
import time:       829 |       1811 |                       torch._higher_order_ops.utils
import time:      1288 |       3098 |                     torch._higher_order_ops.auto_functionalize
import time:       438 |       3536 |                   torch._higher_order_ops.base_hop
import time:       929 |       4465 |                 torch._higher_order_ops._invoke_quant
import time:       381 |        381 |                 torch._higher_order_ops.aoti_call_delegate
import time:       486 |        486 |                 torch._higher_order_ops.associative_scan
import time:       512 |        512 |                 torch._higher_order_ops.cond
import time:       802 |        802 |                     torch._higher_order_ops.flat_apply
import time:       859 |       1660 |                   torch._higher_order_ops.invoke_leaf_function
import time:       382 |        382 |                   torch._higher_order_ops.print
import time:       352 |        352 |                       torch._functorch._aot_autograd
import time:       724 |       1075 |                     torch._functorch._aot_autograd.utils
import time:       372 |       1446 |                   torch._higher_order_ops.torchbind
import time:       552 |       4039 |                 torch._higher_order_ops.effects
import time:       344 |        344 |                 torch._higher_order_ops.executorch_call_delegate
import time:       246 |        246 |                       torch.testing._internal
import time:       509 |        755 |                     torch.testing._internal.logging_tensor
import time:      1053 |       1808 |                   torch.utils.checkpoint
import time:      1292 |       3099 |                 torch._higher_order_ops.flex_attention
import time:       359 |        359 |                 torch._higher_order_ops.foreach_map
import time:       349 |        349 |                 torch._higher_order_ops.hints_wrap
import time:     45655 |      45655 |                   torch.utils._debug_mode
import time:      1201 |      46855 |                 torch._higher_order_ops.invoke_subgraph
import time:       531 |        531 |                 torch._higher_order_ops.local_map
import time:       440 |        440 |                 torch._higher_order_ops.map
import time:       621 |        621 |                 torch._higher_order_ops.out_dtype
import time:       378 |        378 |                 torch._higher_order_ops.run_const_graph
import time:       373 |        373 |                   torch._higher_order_ops.partitioner
import time:       689 |       1062 |                 torch._higher_order_ops.scan
import time:       316 |        316 |                 torch._higher_order_ops.strict_mode
import time:       465 |        465 |                 torch._higher_order_ops.while_loop
import time:       513 |        513 |                 torch._higher_order_ops.wrap
import time:       579 |      65785 |               torch._higher_order_ops
import time:        17 |      65801 |             torch._higher_order_ops.flat_apply
import time:       519 |      68204 |           torch._export.wrappers
import time:       579 |        579 |           torch._export.config
import time:       690 |      71996 |         torch._export
import time:        21 |      72016 |       torch._export.utils
import time:       519 |      72534 |     torch.export.decomp_utils
import time:       572 |        572 |         torch._export.verifier
import time:      1338 |       1910 |       torch.export.exported_program
import time:      1847 |       3756 |     torch.export.dynamic_shapes
import time:       295 |        295 |       torch.export._remove_effect_tokens_pass
import time:      1443 |       1737 |     torch.export.unflatten
import time:       649 |     113347 |   torch.export
import time:       237 |        237 |     torch._functorch.batch_norm_replacement
import time:       381 |        381 |       torch.fx.experimental.const_fold
import time:       614 |        994 |     torch._functorch.eager_transforms
import time:       304 |        304 |     torch._functorch.functional_call
import time:       291 |       1826 |   torch.func
import time:       703 |        703 |   torch.distributed._meta_registrations
import time:       334 |        334 |             torch.utils._content_store
import time:       353 |        686 |           torch._prims.debug_prims
import time:       603 |        603 |           torch._prims.rng_prims
import time:       475 |        475 |           torch._prims_common.wrappers
import time:     59463 |      61226 |         torch._prims
import time:     34214 |      95440 |       torch._decomp.decompositions
import time:       751 |        751 |         torch._refs._conversions
import time:      2339 |       2339 |         torch._refs.fft
import time:      1156 |       1156 |         torch._refs.linalg
import time:       239 |        239 |           torch._refs.nn
import time:      3057 |       3296 |         torch._refs.nn.functional
import time:      1924 |       1924 |         torch._refs.special
import time:     20861 |      30324 |       torch._refs
import time:       489 |     126252 |     torch._decomp
import time:     45976 |     172228 |   torch._meta_registrations
import time:       933 |        933 |     torch.compiler.config
import time:       495 |       1427 |   torch.compiler
import time:    448438 |    8285116 | torch
