import time: self [us] | cumulative | imported package
import time:       799 |        799 |             numpy._core._add_newdocs_scalars
import time:       271 |        271 |             numpy._core._dtype_ctypes
import time:       954 |        954 |             numpy._core._internal
import time:       326 |        326 |             numpy._pytesttester
import time:       657 |     275122 |           numpy._core
import time:        19 |     275141 |         numpy._core._multiarray_umath
import time:       444 |     275584 |       numpy.__config__
import time:       307 |        307 |                         numpy._typing._nbit_base
import time:       363 |        363 |                         numpy._typing._nested_sequence
import time:       169 |        169 |                         numpy._typing._shape
import time:      1662 |       2500 |                       numpy._typing._array_like
import time:      1562 |       1562 |                       numpy._typing._char_codes
import time:      1541 |       1541 |                       numpy._typing._dtype_like
import time:       276 |        276 |                       numpy._typing._nbit
import time:       219 |        219 |                       numpy._typing._scalars
import time:       408 |        408 |                       numpy._typing._ufunc
import time:       701 |       7204 |                     numpy._typing
import time:       319 |        319 |                       numpy.lib._stride_tricks_impl
import time:       492 |        811 |                     numpy.lib._twodim_base_impl
import time:       139 |        139 |                       numpy.lib._array_utils_impl
import time:       341 |        480 |                     numpy.lib.array_utils
import time:    247268 |     247268 |                     numpy.linalg._umath_linalg
import time:      1384 |     257145 |                   numpy.linalg._linalg
import time:       477 |     257621 |                 numpy.linalg
import time:       519 |     258140 |               numpy.matrixlib.defmatrix
import time:       440 |     258579 |             numpy.matrixlib
import time:       442 |        442 |               numpy.lib._histograms_impl
import time:      1108 |       1549 |             numpy.lib._function_base_impl
import time:       460 |     260586 |           numpy.lib._index_tricks_impl
import time:       578 |     261164 |         numpy.lib._arraypad_impl
import time:      1021 |       1021 |         numpy.lib._arraysetops_impl
import time:       322 |        322 |         numpy.lib._arrayterator_impl
import time:       524 |        524 |         numpy.lib._nanfunctions_impl
import time:       325 |        325 |               numpy.lib._utils_impl
import time:       359 |        683 |             numpy.lib._format_impl
import time:       220 |        902 |           numpy.lib.format
import time:       345 |        345 |           numpy.lib._datasource
import time:       922 |        922 |           numpy.lib._iotools
import time:      1745 |       3914 |         numpy.lib._npyio_impl
import time:       243 |        243 |             numpy.lib._ufunclike_impl
import time:       367 |        609 |           numpy.lib._type_check_impl
import time:       627 |       1236 |         numpy.lib._polynomial_impl
import time:       413 |        413 |         numpy.lib._shape_base_impl
import time:       248 |        248 |         numpy.lib._version
import time:       174 |        174 |         numpy.lib.introspect
import time:       303 |        303 |         numpy.lib.mixins
import time:       191 |        191 |         numpy.lib.npyio
import time:       394 |        394 |           numpy.lib._scimath_impl
import time:       173 |        567 |         numpy.lib.scimath
import time:       113 |        113 |         numpy.lib.stride_tricks
import time:      1031 |     271216 |       numpy.lib
import time:       234 |        234 |       numpy._array_api_info
import time:     26598 |     575991 |     numpy
import time:   5988163 |    6564153 |   torch._C
import time:       471 |        471 |           concurrent
import time:       673 |        673 |           concurrent.futures._base
import time:       492 |       1634 |         concurrent.futures
import time:      1785 |       1785 |           _heapq
import time:       345 |       2130 |         heapq
import time:      6067 |       6067 |           _ssl
import time:      1733 |       1733 |             binascii
import time:       426 |       2159 |           base64
import time:      3488 |      11712 |         ssl
import time:       358 |        358 |         asyncio.constants
import time:       315 |        315 |         asyncio.coroutines
import time:       172 |        172 |           asyncio.format_helpers
import time:       157 |        157 |             asyncio.base_futures
import time:       200 |        200 |             asyncio.exceptions
import time:       192 |        192 |             asyncio.base_tasks
import time:      2114 |       2662 |           _asyncio
import time:       569 |       3402 |         asyncio.events
import time:       239 |        239 |         asyncio.futures
import time:       213 |        213 |         asyncio.protocols
import time:       431 |        431 |           asyncio.transports
import time:       169 |        169 |           asyncio.log
import time:      1291 |       1891 |         asyncio.sslproto
import time:       128 |        128 |             asyncio.mixins
import time:       350 |        478 |           asyncio.locks
import time:       285 |        285 |             asyncio.timeouts
import time:       511 |        796 |           asyncio.tasks
import time:       432 |       1705 |         asyncio.staggered
import time:       156 |        156 |         asyncio.trsock
import time:      1133 |      24882 |       asyncio.base_events
import time:       271 |        271 |       asyncio.runners
import time:       221 |        221 |       asyncio.queues
import time:       278 |        278 |       asyncio.streams
import time:       185 |        185 |       asyncio.subprocess
import time:       144 |        144 |       asyncio.taskgroups
import time:       110 |        110 |       asyncio.threads
import time:       197 |        197 |         asyncio.base_subprocess
import time:       488 |        488 |         asyncio.selector_events
import time:       522 |       1206 |       asyncio.unix_events
import time:       667 |      27960 |     asyncio
import time:        21 |      27981 |   asyncio.coroutines
import time:       494 |        494 |     copy
import time:       211 |        211 |     torch._namedtensor_internals
import time:       311 |        311 |       __future__
import time:      1088 |       1398 |     torch.overrides
import time:       964 |       3066 |   torch._tensor
import time:       369 |        369 |     torch.types
import time:       651 |       1019 |   torch.storage
import time:       456 |        456 |     torch.amp.autocast_mode
import time:       482 |        482 |     torch.amp.grad_scaler
import time:       269 |       1206 |   torch.amp
import time:       300 |        300 |   torch.random
import time:       733 |        733 |     difflib
import time:       240 |        240 |       pwd
import time:      1795 |       1795 |       grp
import time:      1100 |       3135 |     tarfile
import time:       407 |        407 |     torch._weights_only_unpickler
import time:       434 |        434 |     torch._sources
import time:      1758 |       1758 |     mmap
import time:      1170 |       7634 |   torch.serialization
import time:       671 |        671 |     dataclasses
import time:      1359 |       2029 |   torch._tensor_str
import time:       498 |        498 |     torch.cuda._device_limits
import time:       263 |        263 |     torch.cuda.gds
import time:       323 |        323 |     torch.cuda._utils
import time:       491 |        491 |     torch.cuda.graphs
import time:       262 |        262 |     torch.cuda.green_contexts
import time:       407 |        407 |     torch.cuda.streams
import time:        80 |         80 |     pynvml
import time:       697 |        697 |       torch.cuda._memory_viz
import time:      1437 |       2134 |     torch.cuda.memory
